order_id,customer_id,order_date,order_status,shipping_address,billing_address,total_amount,payment_method,shipping_method,tracking_number
54,41,2024-01-20,Cancelled,380 King Spur,6962 Rowe Green,1211,341172883679057,arrive,7245614924189
55,51,2024-05-24,Cancelled,737 Smith Union,9453 Kim Rapid,832,4689153491606601,claim,2012154375697
56,95,2024-07-04,Cancelled,493 Navarro Manors Apt. 470,663 Anderson Village,2208,4209729207508404856,culture,8885689951537
57,17,2024-07-09,Shipped,4607 Sheila Stream Suite 905,550 Chapman Radial,2693,676380874443,performance,2100859140310
58,34,2024-02-20,Pending,2973 Raymond Well,03367 Valdez Grove,865,3541250906270757,remain,3371426949790
59,67,2024-04-09,Delivered,507 Jeff Meadows,91862 Christina Courts Apt. 997,406,4187960797751587700,region,6168245231819
60,95,2024-03-13,Shipped,2346 Andrew Walks,241 Gregory Pines Apt. 976,548,30031524035945,generation,4859762555947
61,87,2024-01-12,Pending,163 Hays Crescent,29729 Nancy Rapids,4584,4239484695077,travel,1382634223901
62,14,2024-01-11,Delivered,165 Payne Alley Suite 406,942 Kevin Wells,426,30526838924494,dog,1342508909997
63,11,2024-03-23,Cancelled,6841 Thompson Mill Apt. 856,2872 Jonathon Spring,3265,3500128549162285,nor,6309101398387
64,31,2024-05-04,Delivered,081 Fox Dale,9324 Cooper Land Apt. 227,415,4208611449725177161,behind,7886582776990
65,87,2024-01-30,Cancelled,70950 Cruz Ways Suite 226,1018 Stephanie Parks Apt. 432,2754,4466490719465921733,heart,7968225248306
66,39,2024-06-23,Pending,771 Veronica Way Apt. 109,62430 Sharon Shore Suite 203,4099,213178416463815,yeah,0896610952934
67,19,2024-02-17,Delivered,18474 Barnett Road Suite 270,73587 Vasquez Radial Apt. 934,3099,4355762705332258967,similar,7739504726736
68,84,2024-03-23,Pending,2116 Travis Bypass,45498 Bauer Court Apt. 438,2876,4320950992530627,around,3636420603117
69,21,2024-01-10,Delivered,417 Jeremy Inlet,784 Ellen Way Apt. 749,1204,4174624640031772815,maintain,7346448787268
70,26,2024-01-26,Shipped,17460 Katrina Trail Apt. 546,41223 David Extensions,4335,4474259912974236967,threat,4380140663607
71,88,2024-07-14,Shipped,4135 Brennan Corners Suite 344,64482 Kimberly Keys Apt. 169,3732,3597523756457895,rich,4712418137914
72,87,2024-04-21,Delivered,6657 Ashley Crossing Apt. 725,9154 Pena Flat,2055,639072100154,wear,7075085179272
73,51,2024-01-11,Delivered,30753 Johnson Field,0566 Cook Parks Apt. 706,4370,060499474439,garden,0965839398820
74,79,2024-04-07,Pending,654 Courtney Pike Suite 062,89085 Norman Throughway,2557,4965767705086188,tend,0977830704937
75,72,2024-01-10,Pending,090 Lopez Cape,55792 Washington Bypass Suite 833,2665,4376442106465677160,series,9198339371951
76,47,2024-06-12,Cancelled,08528 Angel Wells,96550 Webb Mission Suite 094,3146,30026882826380,create,9299095488669
77,25,2024-02-28,Cancelled,30493 Jackson Well Apt. 427,92557 Martin Road Suite 130,528,30018698189871,skin,2059746116818
78,6,2024-02-19,Cancelled,064 Lopez Causeway Apt. 860,375 Smith Shoals Apt. 626,4693,3514966793886768,partner,9935696140666
79,33,2024-04-27,Delivered,393 Lozano Hill Suite 084,87976 Avery Manors Suite 447,3255,502052036774,time,3618293246721
80,81,2024-03-10,Cancelled,0411 Lindsay Square Suite 230,828 David Manor,4102,502063947548,improve,8529001048535
81,43,2024-05-26,Delivered,5012 Hanson Plains,005 Sharp Burg,1986,2261595326389607,like,5182079712239
82,1,2024-01-15,Shipped,564 Stephens Place,7164 Matthew Circles Apt. 090,4431,2384235773452812,usually,3145752820920
83,9,2024-05-13,Shipped,72599 Gabriel Ways Suite 599,70305 Joseph Union,273,2709445437627356,fish,6992985843236
84,71,2024-07-15,Delivered,4428 Heather Port Suite 997,22983 Scott Lodge,1991,4179498419707032,think,3299030269625
85,58,2024-07-09,Cancelled,8974 Paula Fort,146 Carl Stravenue Suite 343,3186,180024708996493,someone,1025322079168
86,90,2024-06-10,Pending,10068 Dean Ports,1578 Stacey Burgs Apt. 926,529,4171036857931,choose,8240054757235
87,89,2024-06-18,Cancelled,182 Pineda Parks Apt. 341,20101 Katherine Island,1663,4931205687757980,spend,6686451701761
88,46,2024-06-27,Shipped,687 Higgins Union Suite 514,1357 Travis Circle,1464,4072153444261657,same,8051414799341
89,74,2024-07-17,Cancelled,07910 Haley Corner,4416 Mullins Place,2428,4296599373553762327,wide,7584109266145
90,70,2024-04-30,Delivered,5610 Trujillo Springs,366 Pamela Dam,3968,584908851887,argue,3792056609005
91,32,2024-04-26,Delivered,73743 Jessica Flats,0178 Jason Parkways,2337,36676021817320,discuss,0907288517438
92,10,2024-01-01,Cancelled,62494 Karen Vista Suite 446,20262 Hunter Roads,742,370672645108661,color,9966744258811
93,18,2024-05-20,Delivered,53393 Jordan Pass,934 Bishop Ford Suite 863,2714,372857076890428,business,5226804290644
94,66,2024-07-06,Delivered,92155 Mullins Inlet Apt. 915,73099 Powell Mission,516,180013958362555,turn,0976276188677
95,98,2024-04-18,Delivered,32293 Luis Union Suite 958,879 Linda Canyon,4312,4415862424789540304,less,7711128227219
96,93,2024-06-18,Shipped,499 Ashley Mission Suite 581,346 Martin Union Suite 596,1427,6547163006509353,try,1872097538884
97,26,2024-04-19,Cancelled,48344 Sharon Rest Suite 190,83323 Karen Tunnel,4001,3567713053919871,study,4755604321025
98,88,2024-03-18,Shipped,69767 Cordova Forges Apt. 364,853 Kennedy Circles Apt. 941,1847,3509220376587824,lay,8046875018100
99,34,2024-03-23,Delivered,97673 Michael Camp,88684 Garner Harbor Apt. 350,4814,30270686550024,pressure,3670316891684
100,27,2024-07-19,Shipped,010 Miller Fork,748 Snyder Wall Suite 392,3344,4000124927147284005,soldier,0777813866115
